model,accuracy,precision,recall,f1,roc_auc,selection_score
Logistic Regression,0.7411167512690355,0.657608695652174,0.75625,0.7034883720930233,0.8220886752136752,0.7467997590068479
Random Forest,0.733502538071066,0.6502732240437158,0.74375,0.6938775510204082,0.812099358974359,0.7364461460101417
SVM,0.6979695431472082,0.6073298429319371,0.725,0.6609686609686609,0.7857638888888889,0.7088371964799629
Gradient Boosting,0.7182741116751269,0.6521739130434783,0.65625,0.6542056074766355,0.8020566239316239,0.6907959789444916
Decision Tree,0.6802030456852792,0.5913978494623656,0.6875,0.6358381502890174,0.7538060897435898,0.6793667826328529
KNN,0.6700507614213198,0.5925925925925926,0.6,0.5962732919254659,0.7500801282051281,0.635530418553344
